900124 6040 858 4 956703932
899886 6040 593 5 956703954
900006 6040 1961 4 956703977
900173 6040 2019 5 956703977
899881 6040 573 4 956704056
899889 6040 1419 3 956704056
899982 6040 3505 4 956704056
899928 6040 213 5 956704056
899970 6040 3111 5 956704056
900139 6040 1734 2 956704081
899899 6040 919 5 956704191
899974 6040 2503 5 956704191
900167 6040 527 5 956704219
899991 6040 318 4 956704257
900056 6040 1252 5 956704257
899958 6040 649 5 956704257
900097 6040 3289 5 956704305
900074 6040 759 5 956704448
899944 6040 2858 4 956704475
899952 6040 608 4 956704475
900142 6040 2396 3 956704475
900180 6040 2028 5 956704519
899992 6040 326 4 956704519
900161 6040 2762 4 956704584
900013 6040 34 4 956704584
899932 6040 246 5 956704613
900103 6040 2692 4 956704656
900084 6040 1617 4 956704673
899942 6040 1111 5 956704716
899984 6040 300 2 956704716
900146 6040 150 3 956704716
900125 6040 1392 5 956704716
900176 6040 549 4 956704746
900105 6040 448 4 956704788
900127 6040 866 4 956704788
899938 6040 265 3 956704788
899972 6040 1537 5 956704788
899973 6040 1554 2 956704788
900123 6040 2324 3 956704829
900116 6040 1358 3 956704829
899933 6040 247 2 956704854
899931 6040 235 2 956704854
900104 6040 446 4 956704854
900185 6040 1094 5 956704887
900131 6040 1704 3 956704887
900021 6040 50 4 956704911
900151 6040 162 4 956704953
900020 6040 45 3 956704953
900003 6040 348 2 956704972
900162 6040 508 4 956704972
900182 6040 1089 4 956704996
899882 6040 589 4 956704996
900023 6040 58 5 956705033
899990 6040 2580 4 956705056
899929 6040 1834 4 956705073
900140 6040 2391 4 956705112
899865 6039 111 4 956705158
899815 6039 282 4 956705158
899941 6040 290 4 956705162
899772 6039 2067 4 956705178
900014 6040 357 3 956705185
900090 6040 1641 4 956705185
899839 6039 1230 3 956705202
899798 6039 930 4 956705202
899773 6039 3022 4 956705281
899822 6039 3133 3 956705281
899806 6039 3088 5 956705281
899804 6039 947 3 956705281
899852 6039 1294 3 956705300
899812 6039 2804 4 956705323
899846 6039 1269 3 956705323
899811 6039 3421 2 956705323
899841 6039 1244 2 956705351
899855 6039 2622 3 956705351
899809 6039 955 4 956705351
899848 6039 1276 4 956705351
899873 6039 2791 4 956705371
899860 6039 2300 5 956705395
899872 6039 1028 4 956705395
899820 6039 1197 4 956705416
899817 6039 2863 3 956705416
899827 6039 3548 4 956705416
899836 6039 1211 4 956705441
899807 6039 951 4 956705441
899874 6039 1066 3 956705470
899799 6039 933 4 956705470
899785 6039 907 4 956705486
899857 6039 2671 2 956705508
899859 6039 1304 4 956705508
899823 6039 3175 4 956705508
899870 6039 1014 3 956705545
899866 6039 3363 5 956705545
899847 6039 1270 4 956705545
899876 6039 1078 4 956705545
899778 6039 3035 4 956705545
899786 6039 909 3 956705564
899867 6039 3396 4 956705581
899821 6039 2174 3 956705636
899825 6039 1934 5 956705636
